"title";"price";"city";"street";"rooms";"square_m2";"floor";"link"
"2-комнатная квартира · 41 м² · 4/5 этаж";"11 500 000";"Aktobe";"мкр 8, Братъев Жубановых 271";"2";"41";"4/5";""
"2-комнатная квартира · 63.7 м² · 7/9 этаж";"22 500 000";"Aktobe";"Алтын орда";"2";"63.7";"7/9";""
"1-комнатная квартира · 35 м² · 1/5 этаж";"13 500 000";"Aktobe";"Абилхаир хана 47А — Мед.университет,Нурдаулет.";"1";"35";"1/5";""
"3-комнатная квартира · 70 м² · 4/5 этаж";"28 000 000";"Aktobe";"мкр 11, Мкр 11 Шайкенова 17";"3";"70";"4/5";""
"2-комнатная квартира · 49.8 м² · 4/5 этаж";"10 500 000";"Aktobe";"мкр Гормолзавод, Нефтяников 22";"2";"49.8";"4/5";""
"2-комнатная квартира · 74.4 м² · 3/6 этаж";"42 000 000";"Aktobe";"мкр. Алтын орда, Алтын Орда 24а";"2";"74.4";"3/6";""
"4-комнатная квартира · 198 м² · 1/5 этаж";"95 000 000";"Aktobe";"мкр. Алтын орда, Батыс 2 пр Алии Молдагуловой 36в /2 — проспект Алии Молдагуловой";"4";"198";"1/5";""
"2-комнатная квартира · 54.2 м² · 1/5 этаж";"16 500 000";"Aktobe";"мкр 8 — 27 школа";"2";"54.2";"1/5";""
"3-комнатная квартира · 95 м² · 1/9 этаж";"43 500 000";"Aktobe";"мкр. Алтын орда, Мустафа Шокай 2";"3";"95";"1/9";""
"2-комнатная квартира · 75 м² · 3/9 этаж";"35 500 000";"Aktobe";"мкр. Алтын орда 360/1";"2";"75";"3/9";""
"3-комнатная квартира · 70 м² · 1/5 этаж";"27 000 000";"Aktobe";"мкр 8 58/2 — Абилкайыр Хана угол Алии Молдагуловой";"3";"70";"1/5";""
"4-комнатная квартира · 158 м² · 1/7 этаж";"63 000 000";"Aktobe";"мкр. Алтын орда, Санкибай батыра 28 в — Санкибая батыра Сатпаева";"4";"158";"1/7";""
"1-комнатная квартира · 61.8 м² · 6/6 этаж";"23 000 000";"Aktobe";"мкр. Алтын орда, Мкр.Батыс-2 54Г";"1";"61.8";"6/6";""
"2-комнатная квартира · 63.8 м² · 10/10 этаж";"16 000 000";"Aktobe";"мкр Жилгородок, Мкр Мира 5а — Кутузова";"2";"63.8";"10/10";""
"2-комнатная квартира · 88 м² · 4/5 этаж";"28 900 000";"Aktobe";"мкр. Алтын орда, Саздинское лесничество 228";"2";"88";"4/5";""
"2-комнатная квартира · 53 м² · 7/9 этаж";"17 500 000";"Aktobe";"мкр 11 101";"2";"53";"7/9";""
"3-комнатная квартира · 69 м² · 4/5 этаж";"20 000 000";"Aktobe";"Сатпаева 22 — Около 23 школы и рядом суда города Актобе, образовательный центр Достык";"3";"69";"4/5";""
"1-комнатная квартира · 46 м² · 2/7 этаж";"18 300 000";"Aktobe";"мкр. Алтын орда 201а";"1";"46";"2/7";""
"2-комнатная квартира · 70 м² · 10/12 этаж";"18 800 000";"Aktobe";"мкр Жилгородок 36 — Рынок Жилгородок";"2";"70";"10/12";""
"2-комнатная квартира · 87 м² · 5/6 этаж";"37 500 000";"Aktobe";"мкр. Алтын орда 10Г — ЖК НЕКТАР по пр.ТАУЕЛСИЗДИК - САМЫЙ ЦЕНТР";"2";"87";"5/6";""
"1-комнатная квартира · 58.6 м² · 6/6 этаж";"16 800 000";"Aktobe";"мкр 12";"1";"58.6";"6/6";""
"3-комнатная квартира · 120 м² · 4/8 этаж";"57 300 000";"Aktobe";"мкр. Алтын орда, Санкибай батыра 40е";"3";"120";"4/8";""
"2-комнатная квартира · 56 м² · 4/5 этаж";"18 200 000";"Aktobe";"мкр 11";"2";"56";"4/5";""
"2-комнатная квартира · 44.7 м² · 5/5 этаж";"12 500 000";"Aktobe";"мкр 5, Есет батыра — напротив 19 школы";"2";"44.7";"5/5";""
